deployable_id,function_id,function,behavior,emote_id,explicit_emote_duration,authored_placements_in_repository
103,0,Undefined,"DynamicEmote(emote=""wave"",emoteDuration=5000)",53,5000,0
110,3,Play,"DynamicEmote(emote=""dance"",emoteDuration=10000)",1,10000,0
115,2,Rest,"DynamicEmote(emote=""bask"",emoteDuration=5000)",62,5000,0
116,1,Work,"DynamicEmote(emote=""utility"",emoteDuration=3000)",1269,3000,0
118,2,Rest,"DynamicEmote(emote=""sit_chair"",emoteDuration=15000)",61,15000,0
119,8,Repair Work,"DynamicEmote(emote=""utility"")",1269,,0
120,0,Undefined,EquipAndDefend,,,0
121,5,Weapon Rack,"DrillTownDefend(anchorName=""Defender"")",,,0
122,1,Work,WaterPather,,,0
124,0,Undefined,EquipAndDefend,,,0
255,2,Rest,"DynamicEmote(emote=""townstool1"",emoteDuration=15000)",1030,15000,0
258,2,Rest,"DynamicEmote(emote=""townbar1"",emoteDuration=60000)",1031,60000,0
259,2,Rest,"DynamicEmote(emote=""townbar2"",emoteDuration=60000)",1032,60000,0
260,2,Rest,"DynamicEmote(emote=""townbar3"",emoteDuration=60000)",1033,60000,0
261,2,Rest,"DynamicEmote(emote=""townbar4"",emoteDuration=60000)",1034,60000,0
262,2,Rest,"DynamicEmote(emote=""townbar5"",emoteDuration=60000)",1035,60000,0
269,2,Rest,"DynamicEmote(emote=""townstand1"",emoteDuration=60000)",1041,60000,0
270,2,Rest,"DynamicEmote(emote=""townstand2"",emoteDuration=60000)",1042,60000,0
271,2,Rest,"DynamicEmote(emote=""townstand3"",emoteDuration=60000)",1043,60000,0
272,2,Rest,"DynamicEmoteHolstered(emote=""townstand4"",emoteDuration=60000,endWithEmote=""calm"")",1044,60000,0
273,2,Rest,"DynamicEmote(emote=""townstand5"",emoteDuration=60000)",1045,60000,0
274,2,Rest,"DynamicEmote(emote=""townstand6"",emoteDuration=60000)",1046,60000,0
275,2,Rest,"DynamicEmote(emote=""townlean1"",emoteDuration=30000)",1051,30000,0
