hash,table,rows,columns,runtime_loaded,spatial_fields,blob_fields
0xFDA606A8,apt::AbilityData,8295,6,True,,
0xB47B7B2F,apt::ActiveInitiationCommandDef,3392,1,True,,
0x4A939BE7,apt::AimRangeDurationCommandDef,34,10,True,,
0x26918058,apt::BaseCommandDef,143498,3,True,,
0xE6756322,apt::BonusGreaterThanCommandDef,0,4,True,,
0xA768568E,apt::CallCommandDef,314,2,True,,
0x3D111D6E,apt::CommandType,394,4,True,,
0x9FFD8BB5,apt::ConditionalBranchCommandDef,2631,4,True,,
0xC3FC9410,apt::ImpactApplyEffectCommandDef,17437,12,True,,
0x921B4622,apt::ImpactToggleEffectCommandDef,86,7,True,,
0xE21725FF,apt::InflictCooldownCommandDef,205,12,True,,
0xEBB4A9DD,apt::InstantActivationCommandDef,3103,11,True,,
0xDDD4C283,apt::LoadRegisterFromBonusCommandDef,160,14,True,,
0xA355589B,apt::LoadRegisterFromDamageCommandDef,34,3,True,,
0x2D1912F2,apt::LoadRegisterFromItemStatCommandDef,2938,5,True,,
0xBF015570,apt::LoadRegisterFromLevelCommandDef,744,4,True,,
0xD566DF93,apt::LoadRegisterFromModulePowerCommandDef,0,3,True,,
0xB04D9841,apt::LoadRegisterFromNamedVarCommandDef,265,6,True,,
0x6EE77B6D,apt::LoadRegisterFromResourceCommandDef,34,14,True,,
0xE2EE93E6,apt::LoadRegisterFromStatCommandDef,359,3,True,,
0x06439972,apt::LogicAndChainCommandDef,1429,3,True,,
0xD5527E8A,apt::LogicNegateCommandDef,29,2,True,,
0xD0234917,apt::LogicOrChainCommandDef,411,3,True,,
0x6F34F0A5,apt::LogicOrCommandDef,259,3,True,,
0x46102AD2,apt::NamedVarConstants,2,4,False,,
0x9D4BC7BC,apt::NamedVarTypes,46,2,False,,
0x4587E06D,apt::NamedVariableAssignCommandDef,291,6,True,,
0xFABAD6F9,apt::PassiveInitiationCommandDef,43,2,True,,
0xF8728D58,apt::PeekRegisterCommandDef,31,2,True,,
0xCF2E1B70,apt::PeekTargetsCommandDef,108,3,True,,
0x0B7462BC,apt::PopRegisterCommandDef,73,2,True,,
0xF9334091,apt::PopTargetsCommandDef,251,3,True,,
0x707D7BCF,apt::PushRegisterCommandDef,138,2,True,,
0x4752CC2A,apt::PushTargetsCommandDef,241,3,True,,
0x326760F7,apt::RegisterComparisonCommandDef,1387,6,True,,
0x90A30BB6,apt::RegisterLoadScaleCommandDef,16,2,True,,
0x8EC501CC,apt::RegisterRandomCommandDef,167,4,True,,
0xFBC16D80,apt::RequireDamageTypeCommandDef,150,3,True,,
0xC89667C9,apt::ReturnCommandDef,417,5,True,,
0x77F15308,apt::SetRegisterCommandDef,2535,3,True,,
0x83A9E56A,apt::StagedActivationCommandDef,22,5,True,,
0xD9E6FA2B,apt::StatusEffectData,15173,12,True,,
0x4673A67E,apt::StatusEffectTagTypes,1,2,False,,
0xEEBA7701,apt::StatusEffectTags,832,2,True,,
0xC7B929C1,apt::TargetClearCommandDef,7777,3,True,,
0xA0066E08,apt::TargetConeAECommandDef,622,22,True,aim_dir_offset:Vector3; aim_pos_offset:Vector3,
0x2601BC84,apt::TargetDifferenceCommandDef,22,3,True,,
0x7F0FCE74,apt::TargetInitiatorCommandDef,664,1,True,,
0xE7D520E8,apt::TargetPBAECommandDef,2207,15,True,aim_pos_offset:Vector3,
0x1BDA577B,apt::TargetPreviousCommandDef,71,2,True,,
0xAF3AF6CA,apt::TargetSelfCommandDef,6025,1,True,,
0x05D912C2,apt::TargetSingleCommandDef,60,6,True,,
0x133F5D55,apt::TargetStackEmptyCommandDef,11,2,True,,
