id,name,spawn_command,category_name,category_description,function_name,function_description,faction,default_faction,interact_text,aim_direction,aim_offset,animnetwork,behavior,build_time_ms,calldown_complete_soundevent,calldown_soundevent,calldownfx_complete_id,calldownfx_id,collision_id,constructed_abilityid,damageresponse,death_abilityid,deployable_category,deployable_level,dialog_script_id,difficulty_cost,flags,function,gameplay_priority_boost,gibset_id,hardpoint_type,hit_abilityid,interact_abilityid,interact_completed_abilityid,interact_height,interact_radius,interact_string,interaction_duration_ms,interaction_type,localized_name_id,loot_table_id,no_drive_zone,powered_off_ability,powered_on_ability,scale,scaling_table_id,scope_range,service_type,service_type_data,spawn_abilityid,standard_health,start_hitpoints,turret_type,vendor_loot_table_id,visual_offset,visualgroup,visualgroup_idx,visualrec,xpreward_mult,xpreward_type
1,Battleframe Station,\spawn deployable 1,Loadout Station,,Undefined,No function defined,accord,1,,"(0, 1, 0)","(0, 0, 0.75)",77900,,0,0,0,0,216994,189604,0,4,0,6,0,0,0,15,0,0,0,0,0,53,0,1.5,0.75,0,0,8,37676,0,2,34439,34214,1,10003,100,0,0,30023,0,0,0,0,"(0, 0, 0)",0,0,10296,1,0
2,TEST Vending Machine,\spawn deployable 2,Vending Machine,Vending/slot machines for red bean items,Undefined,No function defined,accord,1,Game Over,"(0, 1, 0)","(0, 0, 0.75)",174321,,0,0,0,0,0,189606,0,4,0,33,0,0,0,3,0,0,0,0,0,0,30139,1.5,1,10018,3000,13,38002,0,0,0,0,2,10003,100,0,0,0,0,1,0,68,"(0, 0, -1.1)",0,0,10279,1,0
4,Forcefield I,\spawn deployable 4,Shield,,Deployed Target,"Not known ahead of time, attacked on sight only.",accord,1,,"(0, 1, 0)","(0, 0, 1)",148028,,2000,2218706530,4214524368,0,136136,189624,0,4,31310,2,1,0,0,175,12,0,0,0,138,33806,0,1.5,0.75,0,0,0,12083,0,0,0,0,1,10003,150,0,0,0,5,200,0,0,"(0, 0, 0)",0,0,11484,1,0
5,Explosive Barrel,\spawn deployable 5,None,,Undefined,No function defined,accord,1,,"(0, 1, 0)","(0, 0, 0.5)",0,,0,0,0,0,0,189606,0,4,60,0,0,0,0,264342,0,0,5,0,0,0,0,1.4,1,0,0,0,12084,0,0,0,0,1,10003,100,0,0,0,1,300,0,0,"(0, 0, 0)",0,0,11892,1,0
8,,\spawn deployable 8,None,,Undefined,No function defined,accord,1,,"(0, 1, 0)","(0, 0, 0.5)",0,,0,0,0,0,0,189606,0,4,0,0,0,0,0,38,0,0,0,0,0,0,0,1.5,1.5,0,30000,7,12086,0,0,0,0,1,10003,50,0,0,0,0,1,0,0,"(0, 0, 0)",0,0,11653,1,0
9,,\spawn deployable 9,None,,Undefined,No function defined,accord,1,,"(0, 1, 0)","(0, 0, 0.5)",0,,0,0,0,0,0,189606,0,4,0,0,0,0,0,151,0,0,0,0,0,0,0,1.5,1,0,0,0,12087,81,0,0,0,1,10003,50,0,0,0,3.75,1,0,0,"(0, 0, 0)",0,0,10116,1,0
10,,\spawn deployable 10,None,,Undefined,No function defined,accord,1,,"(0, 1, 0)","(0, 0, 0.5)",0,,0,0,0,0,0,189606,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,1.5,1,0,15000,6,12088,0,0,0,0,1,10003,50,0,0,0,0,1,0,0,"(0, 0, 0)",0,0,10116,1,0
11,Repair Station I,\spawn deployable 11,Repair Station,,Healing,Place for an NPC to heal (if friendly),accord,1,,"(0, 1, 0)","(0, 0, 0.75)",0,,3000,2218706530,4214524368,0,136138,189606,78,4,30945,3,1,0,0,1063,13,0,0,0,0,33804,0,1.5,1.1,0,0,0,12572,0,0,0,0,1,10003,50,0,0,33875,1.75,200,0,0,"(0, 0, 0)",0,0,11485,1,0
12,,\spawn deployable 12,None,,Undefined,No function defined,accord,1,,"(0, 1, 0)","(0, 0, 1)",0,,0,0,0,0,0,189601,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,1,0,0,0,12090,0,0,0,0,1,10003,150,0,0,0,0,1,0,0,"(0, 0, 0)",0,0,10985,1,0
13,,\spawn deployable 13,None,,Undefined,No function defined,accord,1,,"(0, 1, 0)","(0, 0, 1)",0,,0,0,0,0,0,189601,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,1,0,0,0,12091,0,0,0,0,1,10003,150,0,0,0,0,1,0,0,"(0, 0, 0)",0,0,10983,1,0
14,,\spawn deployable 14,None,,Undefined,No function defined,accord,1,,"(0, 1, 0)","(0, 0, 1)",0,,0,0,0,0,0,189601,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,1,0,0,0,12092,0,0,0,0,1,10003,150,0,0,0,0,1,0,0,"(0, 0, 0)",0,0,10984,1,0
