id,name,spawn_command,faction,faction_id,race_name,chassis_name,weapon1_name,weapon2_name,backpack_name,loot_table_name,loot_table2_name,title_name,ai_spawn_delay_ms,armor_warpaint_palette_id,backpack_id,behavior,behavior_defensive,behavior_defensive_instance_id,behavior_instance_id,behavior_offensive,behavior_offensive_instance_id,behavior_short,body_height,body_mass,body_radius,bodysuit_warpaint_palette_id,charinfo_id,chassis_id,crafting_type_id,damage_response_id,difficulty_cost,extra_color_1,extra_color_2,extra_color_3,extra_color_4,eye_color,eyes_id,facial_hair_color,fast_speed,fullbody_warpaint_palette_id,gender,glow_warpaint_palette_id,gravity,hair_color,head_acc1_id,head_acc2_id,head_id,health_regen,is_componented,lip_color,localized_name_id,loot,loot_table2_id,loot_table_id,max_rand_scale,min_rand_scale,network_fidelity,normal_speed,ornaments_map_group_id_1,ornaments_map_group_id_2,ornaments_map_group_id_3,ornaments_map_group_id_4,posetype_id,projectile_offset,race,respawn_flags,scaling_table_id,skin_color,terminal_type_name,title,vendor_id,visual_options_id,visuals_group_id,voice_set,warpaint_pattern_data,warpaint_tattoo_data,weapon1_id,weapon2_id,weapons,xp_resource_id,xpreward_type
1,Melded Wyrm,\spawn monster 1,melding,6,Melded,MONSTER Giant Melding Wyrm Battleframe,NPC - Melded Wyrm - Snapdragon - Weapon,NPC - Melded Wyrm - Turret Spit - Weapon,,Melding Pocket Gaia Creature 4 (Complex),Melded Wyrm Loot 4 (Complex),,2000,76757,0,,,0,124,,0,,-1,-1,-1,76874,117,30145,0,0,100,"(1, 1, 1, 1)","(1, 1, 1, 1)","(1, 1, 1, 1)","(1, 1, 1, 1)",1054149029,10001,1774458977,-1,0,M,76921,1,4279450052,0,0,0,5,0,2743609570,95462,5726 / 6650,6650,5726,-1,-1,1,-1,0,0,0,0,0,"(0, 0, 0)",8,3,0,1506021473,VENDOR,0,0,0,0,0,"(0, 0, 0, 0)","(0, 0, 0, 0)",85189,85190,85189 / 85190,0,0
2,NO MONSTER,\spawn monster 2,accord,1,Human,,,,,,,,2000,76743,0,,,0,0,,0,,-1,-1,-1,76741,0,0,0,0,0,"(1, 1, 1, 1)","(1, 1, 1, 1)","(1, 1, 1, 1)","(1, 1, 1, 1)",0,10001,0,-1,0,M,76891,1,0,0,0,0,0,0,0,126444,,0,0,-1,-1,1,-1,0,0,0,0,0,"(0, 0, 0)",0,3,0,0,VENDOR,0,0,0,0,0,(0),(0),0,0,,0,0
3,,\spawn monster 3,accord,1,Human,,,,,,,,2000,76811,0,,,0,0,,0,,-1,-1,-1,76941,5,30160,0,0,0,"(1, 1, 1, 1)","(1, 1, 1, 1)","(1, 1, 1, 1)","(1, 1, 1, 1)",0,10001,4279441505,-1,0,M,76943,1,4279452133,0,0,0,0,1,0,95584,,0,0,-1,-1,1,-1,0,0,0,0,0,"(0, 0, 0)",0,3,0,960692224,VENDOR,0,0,0,0,1039,"(0, 0, 0, 0)","(0, 0, 0, 0)",0,0,,0,0
4,Yellow Shirt,\spawn monster 4,accord,1,Human,Accord Assaultframe,NPC CORAL - Accord Guard Assault Rifle,,,,,,2000,0,0,PlayerPet,MedRanged_Interruptable_LeashedCombat(triggerPullTime=1500),0,0,MedRanged_Interruptable_LeashedCombat,0,PlayerPet,-1,-1,-1,0,5,75683,0,0,0,"(1, 1, 1, 1)","(1, 1, 1, 1)","(1, 1, 1, 1)","(1, 1, 1, 1)",1054146560,10001,1774452736,-1,77373,M,0,1,4279435264,10004,10008,10002,5,1,2743599104,95238,,0,0,-1,-1,1,-1,10003,10004,10005,0,0,"(0, 0, 0)",0,3,0,1503920128,VENDOR,0,0,0,0,0,"(2, 0, 0, 0, 41, 39, 0, 0, 205, 204, 252, 64, 0, 0, 128, 62, 0, 0, 0, 0, 158, 239, 7, 63, 0, 26, 39, 0, 0, 0, 0, 0, 0, 41, 92, 239, 63, 0, 0, 0, 0, 0, 0, 0, 0, 1)","(3, 0, 0, 0, 22, 39, 0, 0, 11, 233, 152, 60, 62, 7, 43, 61, 28, 158, 110, 60, 78, 236, 16, 61, 71, 83, 151, 187, 236, 129, 3, 189, 19, 81, 217, 60, 54, 57, 190, 188, 113, 108, 5, 61, 189, 117, 132, 62, 102, 175, 2, 188, 84, 143, 197, 63, 0, 18, 39, 0, 0, 203, 212, 5, 61, 246, 139, 247, 188, 74, 163, 232, 61, 218, 218, 69, 61, 216, 14, 213, 189, 73, 68, 42, 189, 88, 118, 219, 189, 10, 210, 101, 189, 150, 58, 130, 60, 242, 55, 157, 190, 184, 167, 3, 187, 222, 3, 188, 63, 0, 21, 39, 0, 0, 176, 231, 125, 189, 133, 78, 156, 58, 0, 0, 0, 0, 52, 122, 162, 57, 221, 246, 131, 60, 41, 58, 117, 61, 198, 239, 150, 186, 140, 46, 117, 189, 29, 253, 131, 60, 239, 189, 164, 186, 53, 146, 47, 190, 193, 72, 196, 63, 1)",30025,20015,30025 / 20015,0,0
5,Red Shirt,\spawn monster 5,chosen,2,Chosen,NPC Accord Assaultframe Test,NPC CHOSEN Assault Rifle TEST,,,,,,100,76801,0,EliteWanderer(preferredMinCombatDist=20),,0,0,,0,EliteWanderer,-1,-1,-1,76874,2,120582,0,0,0,"(1, 1, 1, 1)","(1, 1, 1, 1)","(1, 1, 1, 1)","(1, 1, 1, 1)",1054149029,10001,1774458977,-1,0,M,76921,1,4279450052,10003,0,10006,0,1,2743609570,95351,,0,0,-1,-1,1,-1,0,0,0,0,0,"(0, 0, 0)",2,3,0,1506021473,VENDOR,0,0,0,0,0,"(0, 0, 0, 0)","(0, 0, 0, 0)",92799,33064,92799 / 33064,0,0
6,Small Salamander,\spawn monster 6,gaea,7,Wildlife,,NPC MONSTER Small Salamander Melee Attack,,,CORE NPC Kill Loot 2 (Small) - Crystite/Powerups Subtable,,,2000,76743,0,AggressiveWanderer,,0,0,,0,AggressiveWanderer,-1,-1,-1,76741,117,30146,0,0,10,"(0.752941, 0.872046, 0.872046, 1)","(0.403922, 0.219608, 0.0470588, 1)","(0.180392, 0.245098, 0.0392157, 1)","(1, 1, 1, 1)",0,10001,6241,-1,0,M,76891,1,0,0,0,0,0,0,0,95303,2 / -,0,2,-1,-1,1,-1,0,0,0,0,0,"(0, 0, 0)",9,3,0,0,VENDOR,0,0,0,0,0,"(0, 0, 0, 0)","(0, 0, 0, 0)",34477,0,34477 / -,0,0
7,Small Salamander,\spawn monster 7,gaea,7,Wildlife,,NPC MONSTER Small Salamander Melee Attack,,,CORE NPC Kill Loot 2 (Small) - Crystite/Powerups Subtable,,,2000,76743,0,AggressiveWanderer,,0,0,,0,AggressiveWanderer,-1,-1,-1,76741,117,34333,0,0,60,"(1.47451, 0.0235294, 0.0235294, 1)","(2, 0.67451, 0, 1)","(1.78039, 0, 0, 1)","(1, 1, 1, 1)",0,10001,6241,-1,0,M,76891,1,0,0,0,0,0,0,0,95302,2 / -,0,2,-1,-1,1,-1,0,0,0,0,0,"(0, 0, 0)",9,3,0,0,VENDOR,0,0,0,0,0,(0),(0),34477,0,34477 / -,0,0
8,Small Salamander,\spawn monster 8,gaea,7,Wildlife,,NPC MONSTER Small Salamander Melee Attack,,,CORE NPC Kill Loot 2 (Small) - Crystite/Powerups Subtable,,,2000,76743,0,AggressiveWanderer,,0,0,,0,AggressiveWanderer,-1,-1,-1,76741,117,34334,0,0,0,"(0.933333, 0.592157, 0.0470588, 1)","(0.87451, 0.419608, 0, 1)","(0.952941, 0.333333, 0, 1)","(1, 1, 1, 1)",0,10001,6241,-1,0,M,76891,1,0,0,0,0,0,0,0,95301,2 / -,0,2,-1,-1,1,-1,0,0,0,0,0,"(0, 0, 0)",9,3,0,0,VENDOR,0,0,0,0,0,(0),(0),34477,0,34477 / -,0,0
9,,\spawn monster 9,gaea,7,Wildlife,,,,,CORE NPC Kill Loot 3 (Medium) - Crystite/Powerups Subtable,,,2000,76743,0,AggressiveWanderer,,0,0,,0,AggressiveWanderer,-1,-1,-1,76741,118,34335,0,0,0,"(0.823529, 0.545098, 0.0941177, 1)","(0.403922, 0.215686, 0.0431373, 1)","(0.180392, 0.243137, 0.0392157, 1)","(1, 1, 1, 1)",0,10001,6241,-1,0,M,76891,1,0,0,0,0,0,0,0,95323,3 / -,0,3,-1,-1,1,-1,0,0,0,0,0,"(0, 0, 0)",9,3,0,0,VENDOR,0,0,0,0,0,(0),(0),34476,0,34476 / -,0,0
10,Chosen Target Dummy,\spawn monster 10,chosen,2,Chosen,MONSTER Medium Chosen Assault M Battleframe,NPC CHOSEN Assault Rifle,,Chosen Engipack I,CORE NPC Kill Loot 3 (Medium) - Crystite/Powerups Subtable,CORE Chosen Creature Kill Loot 6 (Boss),,2000,76771,50281,,,0,0,,0,,-1,-1,-1,76849,2,32740,0,0,0,"(1, 1, 1, 1)","(1, 1, 1, 1)","(1, 1, 1, 1)","(1, 1, 1, 1)",3623878656,10001,971440128,-1,0,M,76928,1,709754880,10003,0,10006,0,1,4294901760,95623,3 / 5701,5701,3,-1,-1,1,-1,0,0,0,0,0,"(0, 0, 0)",2,3,0,2771648512,VENDOR,0,0,0,0,1005,"(0, 0, 0, 0)","(0, 0, 0, 0)",32739,33064,32739 / 33064,0,0
