id,name,spawn_command,weapon_names,weapons,aoe_weapon,attack_type,base_offset,behavior,camera_fov,camera_offset,exit_requested_ability,flags,max_pitch,max_rotation_rate,max_yaw,min_pitch,min_yaw,pitch,posture,visualrec,yaw
1,Minigun Turret,\spawn turret 1,,30905,0,1,"(0, 0, 0)",1,90,"(0, -0.5, 0)",0,1,-1,-1,-1,0,0,0 .. -1,2,0,0 .. -1
2,Mounted Turret 01,\spawn turret 2,Turret Cannon,30045,0,1,"(0, 0, 0)",1,90,"(0, -0.5, 0)",34680,1,1.57,2.1,-1,-0.3927,0,-0.3927 .. 1.57,2,0,0 .. -1
3,Quad Cannon,\spawn turret 3,,85954,0,1,"(0, 0, 1)",,90,"(0, -0.5, 0)",34680,1,-0.0174533,-0.0174533,-0.0174533,0,0,0 .. -0.0174533,2,10952,0 .. -0.0174533
4,Tank Turret,\spawn turret 4,Turret Cannon,30045,0,1,"(0, 0, 0)",1,90,"(0, -0.5, 0)",0,1,1.1781,2.1,0.7854,-0.3927,-0.7854,-0.3927 .. 1.1781,2,0,-0.7854 .. 0.7854
5,Mounted Turret 02,\spawn turret 5,,33782,0,1,"(0, 0, 0)",1,90,"(0, -0.5, 0)",34680,1,1.57,1.5,-1,0.195,0,0.195 .. 1.57,2,0,0 .. -1
6,Dropship Turret,\spawn turret 6,NPC Chosen Drop Ship Cannon,32848,0,1,"(0, 0, -3.69)",1,90,"(0, -0.5, 0)",0,1,0,2.1,-1,-1.57,0,-1.57 .. 0,2,0,0 .. -1
7,Engineer Turret - I,\spawn turret 7,NPC Turret Bot (engineer) Rifle I,20038,0,1,"(0, 0, 1.3)",,90,"(0, -0.5, 0)",0,1,-1,-1,-1,0,0,0 .. -1,2,0,0 .. -1
8,Engineer Turret - II,\spawn turret 8,NPC Turret Bot (engineer) Rifle II,30767,0,1,"(0, 0, 1.3)",,90,"(0, -0.5, 0)",0,1,-1,-1,-1,0,0,0 .. -1,2,0,0 .. -1
9,Dropship MiniTurret,\spawn turret 9,NPC Chosen Dropship Mini-turret,33979,0,1,"(0, 0, 0)",1,90,"(0, -0.5, 0)",0,1,0,2.1,-1,-1.57,0,-1.57 .. 0,2,0,0 .. -1
10,Tech Rocket Turret,\spawn turret 10,,33961,0,1,"(0, 0, 1.5)",,90,"(0, -0.5, 0)",0,1,-1,-1,-1,0,0,0 .. -1,2,0,0 .. -1
11,Chosen Guard Tower,\spawn turret 11,NPC Chosen Incursion Turret,34475,0,1,"(0, 0, 0)",1,90,"(0, -0.5, 0)",0,1,1.57,0.9,-1,-0.17,0,-0.17 .. 1.57,2,0,0 .. -1
12,Multi Turret - I,\spawn turret 12,Multi Turret Rifle,75622,0,1,"(0, 0, 1.3)",,90,"(0, -0.5, 0)",0,0,-1,-1,-1,0,0,0 .. -1,2,0,0 .. -1
13,Tech Flamethrower Turret,\spawn turret 13,,75682,0,1,"(0, 0, 1.5)",,90,"(0, -0.5, 0)",0,1,6.28319,-1,6.28319,0,0,0 .. 6.28319,2,0,0 .. 6.28319
14,Tech AA Rocket Turret,\spawn turret 14,,75686,0,1,"(0, 0, 1.5)",,90,"(0, -0.5, 0)",0,1,-1,-1,-1,0,0,0 .. -1,2,0,0 .. -1
15,Tech Riot Gun Turret,\spawn turret 15,,75892,0,1,"(0, 0, 1.5)",,90,"(0, -0.5, 0)",0,1,6.28319,-1,6.28319,0,0,0 .. 6.28319,2,0,0 .. 6.28319
16,Hostile NPC Turret,\spawn turret 16,Hostile NPC AP Turret Rifle I,75453,0,1,"(0, 0, 1.3)",,90,"(0, -0.5, 0)",0,1,-1,-1,-1,0,0,0 .. -1,2,0,0 .. -1
17,Chosen Pillar Turret,\spawn turret 17,NPC Chosen Incursion Double Barrel Turret,77214,0,1,"(0, 0, 0)",,90,"(0, -0.5, 0)",0,1,1.57,0.9,-1.00007,-0.17,0,-0.17 .. 1.57,2,0,0 .. -1.00007
18,Chosen Artillery Turret,\spawn turret 18,NPC Chosen Artillery Cannon,77723,0,1,"(0, 0, 10)",,60,"(0, -5, 0.2)",0,1,0.959931,0,0,0.610865,0,0.610865 .. 0.959931,0,0,0 .. 0
19,Heavy Turret I (Engi Ability),\spawn turret 19,,77778,0,1,"(0, 0, 1.3)",,90,"(0, -0.5, 0)",0,1,-1,-1,-1,0,0,0 .. -1,2,0,0 .. -1
20,Heavy Turret II,\spawn turret 20,,77779,0,1,"(0, 0, 1.3)",,90,"(0, -0.5, 0)",0,1,-1,-1,-1,0,0,0 .. -1,2,0,0 .. -1
21,UNUSED,\spawn turret 21,Heavy Turret II - Gunner,"116561, 77779",0,1,"(0, 0, 1.3)",,90,"(0, -0.5, 0)",0,1,-1,-1,-1,0,0,0 .. -1,2,0,0 .. -1
22,Engineer Anti-Personnel Turret,\spawn turret 22,Engineer Super Turret,78011,0,1,"(0, 0, 2)",,90,"(0, -0.5, 0.15)",34680,1,0.959934,6.28319,6.28319,-0.610865,-6.28319,-0.610865 .. 0.959934,2,0,-6.28319 .. 6.28319
23,Chosen Watchtower Turret,\spawn turret 23,NPC Chosen Incursion Double Barrel Turret,77214,0,1,"(0, 0, 2)",,90,"(0, -0.5, 0)",0,1,1.57,0.9,-1,-0.17,0,-0.17 .. 1.57,2,0,0 .. -1
24,Tanken Turret I,\spawn turret 24,,85421,0,1,"(0, 0, 1.3)",,90,"(0, -0.5, 0)",0,1,-1,0.523599,-1,0,0,0 .. -1,2,0,0 .. -1
